Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Michigan,Hillsdale County,Female Breast,Female,109.3,169,115390
Michigan,Alger County,Female Breast,Female,121.3,40,20977
Michigan,Alpena County,Female Breast,Female,111.2,130,73296
Michigan,Gladwin County,Female Breast,Female,122.5,127,63145
Michigan,Marquette County,Female Breast,Female,125,255,167045
Michigan,Manistee County,Female Breast,Female,131.9,112,58907
Michigan,Macomb County,Female Breast,Female,127.4,3574,2206473
Michigan,Menominee County,Female Breast,Female,113.5,96,58124
Michigan,Oceana County,Female Breast,Female,109.2,96,65332
Michigan,Van Buren County,Female Breast,Female,116.8,284,189310
Michigan,Wexford County,Female Breast,Female,114.8,125,82078
Michigan,Saginaw County,Female Breast,Female,128.8,859,502247
Michigan,Wayne County,Female Breast,Female,129.7,7040,4599795
Michigan,Roscommon County,Female Breast,Female,111.7,123,60162
Michigan,Washtenaw County,Female Breast,Female,126,1188,905237
Michigan,Otsego County,Female Breast,Female,115.5,94,60982
Michigan,Osceola County,Female Breast,Female,127.6,105,57569
Michigan,Ottawa County,Female Breast,Female,133,1013,702930
Michigan,Sanilac County,Female Breast,Female,111.3,160,105156
Michigan,St. Joseph County,Female Breast,Female,109.2,215,153163
Michigan,Tuscola County,Female Breast,Female,117.5,223,134513
Michigan,St. Clair County,Female Breast,Female,119.9,643,403210
Michigan,Shiawassee County,Female Breast,Female,128.1,286,174111
Michigan,Gratiot County,Female Breast,Female,137,165,96793
Michigan,Grand Traverse County,Female Breast,Female,161.2,486,229053
Michigan,Gogebic County,Female Breast,Female,110.9,61,36108
Michigan,Benzie County,Female Breast,Female,112.5,79,43937
Michigan,Bay County,Female Breast,Female,108.6,401,269161
Illinois,Cumberland County,Female Breast,Female,79,28,27277
Illinois,Edgar County,Female Breast,Female,87,62,45671
Illinois,Hamilton County,Female Breast,Female,94.5,30,21166
Illinois,Calhoun County,Female Breast,Female,95.8,19,12265
Illinois,Lawrence County,Female Breast,Female,96,49,36524
Illinois,Crawford County,Female Breast,Female,92.3,59,46517
Illinois,Pulaski County,Female Breast,Female,97.1,21,15003
Illinois,Montgomery County,Female Breast,Female,104.7,111,70094
Illinois,Vermilion County,Female Breast,Female,104.2,275,201053
Illinois,Wabash County,Female Breast,Female,104.9,44,29325
Illinois,Mason County,Female Breast,Female,103.9,49,35574
Illinois,Marshall County,Female Breast,Female,104,46,30324
Illinois,Clark County,Female Breast,Female,98.3,56,40728
Illinois,Stark County,Female Breast,Female,106.7,22,14263
Illinois,Iroquois County,Female Breast,Female,109.4,119,73429
Illinois,Putnam County,Female Breast,Female,115.4,26,14254
Illinois,Moultrie County,Female Breast,Female,109,52,37787
Illinois,Saline County,Female Breast,Female,110.3,98,62274
Illinois,Jasper County,Female Breast,Female,117.6,39,23986
Illinois,Schuyler County,Female Breast,Female,108.9,29,17268
Illinois,Johnson County,Female Breast,Female,119.1,52,28043
Illinois,Washington County,Female Breast,Female,107.1,53,35809
Illinois,Boone County,Female Breast,Female,114.4,178,134621
Illinois,Williamson County,Female Breast,Female,113.6,254,169086
Illinois,Coles County,Female Breast,Female,107.9,157,136092
Illinois,Ogle County,Female Breast,Female,116.8,198,130840
Illinois,Effingham County,Female Breast,Female,118.8,132,85669
Illinois,Fayette County,Female Breast,Female,111,78,51730
Illinois,Massac County,Female Breast,Female,115,62,38425
Illinois,Piatt County,Female Breast,Female,111.1,64,41411
Illinois,Henry County,Female Breast,Female,125.1,213,124935
Illinois,DeKalb County,Female Breast,Female,126.7,330,262908
Illinois,Alexander County,Female Breast,Female,120.8,31,18174
Illinois,Champaign County,Female Breast,Female,129.9,646,517674
Illinois,Cass County,Female Breast,Female,121.1,50,32413
Illinois,Christian County,Female Breast,Female,130.2,151,83132
Illinois,Pike County,Female Breast,Female,122.9,69,39835
Illinois,Knox County,Female Breast,Female,132.1,237,128444
Illinois,Hancock County,Female Breast,Female,120.6,85,46556
Illinois,Randolph County,Female Breast,Female,121.6,119,73715
Illinois,Franklin County,Female Breast,Female,134.8,187,100195
Illinois,Ford County,Female Breast,Female,159.6,78,34488
Illinois,Union County,Female Breast,Female,153.1,95,43536
